Codename,State,Username,Group,Host,MPI Tasks,Start Time,Wallclock Time,Stop Time,%comm,Total Memory,Total GFlops,Datasize,Processors,X,Y,Z,Iteration,Hostlist,Ranks
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:00:21 2023,43.304 s,Sun Nov 19 17:01:04 2023,79.50%,1.9 gbytes,0,128,16,2,2,4,run8,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:00:21 2023,43.304 s,Sun Nov 19 17:01:04 2023,79.50%,1.9 gbytes,0,128,16,2,2,4,run8,csews9,8-15
pfet,completed,spratham,group,csews9,8 on 1 hosts,Mon Nov 20 00:19:06 2023,17633.000 s,Mon Nov 20 05:12:59 2023,77.67%,9.0 gbytes,0,256,8,2,2,2,run2,csews9,0-7
pfet,completed,spratham,group,csews9,8 on 1 hosts,Mon Nov 20 05:14:46 2023,4.388 s,Mon Nov 20 05:14:51 2023,58.19%,0.4 gbytes,0,256,8,2,2,2,run5,csews9,0-7
pfet,completed,spratham,group,csews9,8 on 1 hosts,Mon Nov 20 05:13:51 2023,10.468 s,Mon Nov 20 05:14:01 2023,50.47%,0.4 gbytes,0,256,8,2,2,2,run4,csews9,0-7
pfet,completed,spratham,group,csews9,8 on 1 hosts,Mon Nov 20 05:13:51 2023,10.468 s,Mon Nov 20 05:14:01 2023,50.47%,0.4 gbytes,0,256,8,2,2,2,run3,csews9,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,32,2,2,8,run3,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,32,2,2,8,run3,csews9,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run4,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run4,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run4,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run4,csews5,24-31
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run5,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run5,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run5,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run5,csews5,24-31
